stunde_des_jahres,waermeverlust_kw
1408,32.16
1409,32.696
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,42.343999999999994
1423,42.879999999999995
1424,43.416
1425,43.95199999999999
1426,43.147999999999996
1427,41.272
1428,39.395999999999994
1429,39.12799999999999
1430,39.931999999999995
1431,42.07599999999999
1432,44.488
1433,45.291999999999994
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,47.971999999999994
1447,48.239999999999995
1448,48.239999999999995
1449,46.89999999999999
1450,45.827999999999996
1451,44.488
1452,43.95199999999999
1453,40.467999999999996
1454,43.147999999999996
1455,44.488
1456,44.22
1457,44.488
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,53.331999999999994
1471,53.06399999999999
1472,52.79599999999999
1473,52.528
1474,51.187999999999995
1475,49.848
1476,49.31199999999999
1477,48.239999999999995
1478,47.43599999999999
1479,47.971999999999994
1480,47.971999999999994
1481,47.70399999999999
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,48.239999999999995
1495,48.507999999999996
1496,48.239999999999995
1497,47.70399999999999
1498,46.89999999999999
1499,45.559999999999995
1500,45.023999999999994
1501,43.684
1502,42.879999999999995
1503,43.147999999999996
1504,43.147999999999996
1505,43.684
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,46.89999999999999
1519,46.364
1520,47.43599999999999
1521,45.291999999999994
1522,44.75599999999999
1523,43.147999999999996
1524,42.07599999999999
1525,38.592
1526,39.395999999999994
1527,35.912
1528,35.912
1529,38.324
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,53.331999999999994
1543,52.79599999999999
1544,51.455999999999996
1545,47.971999999999994
1546,43.416
1547,38.86
1548,35.376
1549,31.891999999999996
1550,29.479999999999997
1551,28.407999999999998
1552,28.139999999999997
1553,29.479999999999997
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,45.559999999999995
1567,45.559999999999995
1568,42.879999999999995
1569,40.467999999999996
1570,37.788
1571,35.912
1572,36.17999999999999
1573,33.767999999999994
1574,29.479999999999997
1575,27.067999999999998
1576,24.119999999999997
1577,24.119999999999997
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,36.983999999999995
1591,36.44799999999999
1592,35.376
1593,30.015999999999995
1594,24.387999999999998
1595,23.851999999999997
1596,22.244
1597,19.295999999999996
1598,20.368
1599,20.635999999999996
1600,19.564
1601,20.635999999999996
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
