stunde_des_jahres,t
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,14.002999999999997
1447,14.069999999999997
1448,14.069999999999997
1449,13.734999999999998
1450,13.466999999999999
1451,13.131999999999998
1452,12.997999999999996
1453,12.126999999999999
1454,12.796999999999997
1455,13.131999999999998
1456,13.064999999999998
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,15.342999999999996
1471,15.275999999999998
1472,15.208999999999996
1473,15.141999999999998
1474,14.806999999999999
1475,14.471999999999998
1476,14.337999999999997
1477,14.069999999999997
1478,13.868999999999996
1479,14.002999999999997
1480,14.002999999999997
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,14.069999999999997
1495,14.136999999999999
1496,14.069999999999997
1497,13.935999999999996
1498,13.734999999999998
1499,13.399999999999997
1500,13.265999999999998
1501,12.930999999999997
1502,12.729999999999999
1503,12.796999999999997
1504,12.796999999999997
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,13.734999999999998
1519,13.600999999999999
1520,13.868999999999996
1521,13.332999999999997
1522,13.198999999999996
1523,12.796999999999997
1524,12.528999999999998
1525,11.657999999999998
1526,11.858999999999996
1527,10.987999999999996
1528,10.987999999999996
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,15.342999999999996
1543,15.208999999999996
1544,14.873999999999997
1545,14.002999999999997
1546,12.863999999999997
1547,11.724999999999998
1548,10.853999999999997
1549,9.982999999999999
1550,9.379999999999999
1551,9.111999999999998
1552,9.044999999999998
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,8.374999999999998
1615,8.106999999999998
1616,8.241
1617,7.637999999999999
1618,7.168999999999999
1619,6.766999999999999
1620,6.364999999999999
1621,6.565999999999999
1622,7.771999999999998
1623,7.905999999999999
1624,7.4369999999999985
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,8.173999999999998
1639,8.308
1640,8.173999999999998
